compound_stem,SMILES,u1,u2,u3
A01862735,CCn1nnc2C(COC)N(Cc3c(C)noc3C)CCc12,0.21754074,-2.1488988,1.3066505
A01866180,OCCC1CN(Cc2ccc3OCCc3c2)CCN1C1CCCC1,0.07473147,2.2386198,3.717842
A01868141,COCCCN1CC2(CC1=O)CCCCN2C(=O)Cc1ccccc1,2.851747,3.8289518,9.508854
A01871953,CSCC(C)N1CCC(CC1)N1CCC(CC1)C(=O)NCc1ccccn1,-1.291969,1.137666,4.695145
A01872420,COc1cccc(NC(=O)C(C)OC(=O)CCCNC(=O)c2ccc(Cl)cc2)c1,-0.32078692,2.9897764,5.4534187
A01872525,CCOCC1N(CCc2cnn(C)c12)C(=O)CCc1ccccc1C,0.95113456,3.7865465,8.231586
A01886468,CC(NC(N)=O)C(=O)OCc1ccc(Cl)cc1Cl,0.44454476,2.982747,4.885977
A01900593,Cc1cc(=O)n2nc(sc2n1)N1CCCC(C1)C(=O)NCCc1ccc(Cl)cc1,-0.4101998,-1.0560458,1.2328011
A01932571,COc1ccc(cc1)N1CC(CC1=O)C(=O)N\N=C\c1c[nH]c2ccccc12,-0.5591325,2.285478,3.489075
A01933904,CN1C(Cn2cccn2)CC2CN(CCC12)C(=O)C1CCOC1,0.24038386,-1.7845359,1.474821
A01938631,COc1cc(OC)cc(c1)C(=O)Nc1ccccc1S(=O)(=O)N1CCCC1OC(C)=O,-1.100614,0.10850285,1.9476224
A01955742,CN(C)C1CCN(C(C1)C(O)=O)C(=O)c1ccncc1F,2.634453,3.818017,9.332006
A01989175,CN(C)c1ccc(cc1)C(=O)NCC(N1CCOCC1)c1cccs1,1.15383,4.259187,8.833229
A01989413,O=C(NCC1CCCO1)C1CCCN(C1)c1ncccn1,0.5031731,1.7621338,4.432172
A01992877,COCC1COCCC11CCN(CC1)C(=O)CCc1ccccc1C,1.2643932,2.6862655,6.795309
A01996366,CN1CCN(CC1)C(c1ccc(F)cc1)c1ccc2cccnc2c1O,-0.32005852,2.6295414,4.6907387
A02012208,OC(C(N1CCOCC1)c1ccccc1)c1ccc(F)cc1,-0.5974588,1.6000807,4.445519
A02015567,COCCN1CCCC11CCCN(C1)C(=O)c1ccno1,-1.1454556,0.7317969,4.728069
A02019837,CN1C(=O)N(C)C2(N(C)C(=O)NC12c1ccccc1)c1ccccc1,-0.045231238,2.331208,3.4605215
A02034709,CC(C)N1C2CN(Cc3ccco3)CC2C[C@@H]1C(=O)NCC1CC1,2.8984149,3.3222,8.281792
A02055248,Cn1c2nc(N3CCOCC3)n(CC(O)COc3ccccc3)c2c(=O)[nH]c1=O,-0.40485206,3.007329,6.860398
A02057108,CN(C)C1CCN(C1)C(=O)c1ccc2ccc(N(C)Cc3ccc(F)cc3)n2c1,1.0327789,3.9911764,8.58731
A02061216,COc1ccc(cc1)C1C(C(O)=O)c2ccccc2C(=O)N1Cc1ccco1,-0.4210451,1.625358,3.348158
A02065890,CC1N(CC2CC2)C(=O)COC11CCN(CC1)C(=O)c1ccc[nH]1,2.8603752,3.6989825,9.040121
A02086537,CC1Cn2c(CCc3ccccc3)nnc2S1,-1.1391819,-1.1864233,2.6962569
A02099963,CN1CCCC(C1)OC(=O)C(c1ccccc1)c1ccccc1,0.14063248,3.557369,6.0415277
A02100809,CC(C)C(NS(=O)(=O)c1ccc2nc(C)sc2c1)C(=O)NCc1cccs1,-0.85928774,-0.072642915,1.0567065
A02109720,COc1ccc(cc1)C1C(C(=O)NCc2ccco2)c2ccccc2C(=O)N1C,-0.87633514,-0.18600318,2.3657372
A02156370,COCCN1C2(CCN(C2)C(=O)Cc2cccnc2)c2ccccc2S1(=O)=O,2.8557987,3.1103,7.88662
A02214146,O=C(CC1NC(=O)NC1=O)Nc1cccc2ccccc12,-0.21275732,3.0815272,4.6445217
A02220544,CN1CCc2ccccc2C1C1CCNCC1,-1.5402443,0.16331603,3.5025492
