,compound_stem,u1,u2,u3
10587,K16643944_3,0.2107681,3.1181257,7.01904
10588,K16643944_10,0.36912972,3.913013,6.3168955
10589,K94616812_1,0.03906851,1.979324,8.320518
10590,K94616812_30,1.2827016,6.8186946,5.239056
10591,K94616812_3,-0.012785072,1.7785813,8.4003725
10592,K94616812_10,0.06665546,2.6199112,7.621359
10593,K01079203_1,1.4852955,7.5716834,4.833854
10594,K01079203_30,7.5765953,10.167675,8.319326
10595,K01079203_3,3.4439275,9.470122,6.189544
10596,K01079203_10,5.827427,10.409235,7.4709787
10597,K23377672_1,3.53158,10.150639,3.8267856
10598,K23377672_30,10.363799,8.821607,9.12945
10599,K23377672_3,7.1029654,11.007288,6.591614
10600,K23377672_10,10.224188,8.951923,9.097728
10601,K33436786_1,0.49719357,5.8211365,4.4558306
10602,K33436786_30,0.3929973,5.6750913,4.580581
10603,K33436786_3,0.47028768,5.5717697,4.5029655
10604,K33436786_10,1.7471634,8.070746,3.870446
10605,K54526385_1,2.3053856,8.771266,3.9359853
10606,K54526385_30,9.754182,9.32569,8.977627
10607,K54526385_3,4.625085,10.869636,4.8755307
10608,K54526385_10,7.3762884,10.980292,6.7898746
10609,K62595114_1,0.9814398,6.194867,5.3844166
10610,K62595114_30,6.711264,10.413625,7.988353
10611,K62595114_3,2.95935,8.910683,6.1218224
10612,K62595114_10,4.782341,10.22393,6.9045205
10613,K67760660_1,0.60633546,3.9854674,5.6601205
10614,K67760660_30,10.3012705,8.874342,9.142497
10615,K67760660_3,-0.2830348,2.191195,7.216109
10616,K67760660_10,5.6689525,11.061792,5.1163526
10617,K21388490_1,1.3630588,6.6451707,4.2942142
10618,K21388490_30,3.6634088,9.621264,6.20742
10619,K21388490_3,1.2207829,6.4624305,5.081723
10620,K21388490_10,3.3045328,9.395272,5.920956
10621,K76691493_1,-0.15541863,1.6334368,9.033373
